"iso3","gpi","Year","pop","area"
"URY",1.92652232746955,2009,3310.091,"Latin America and the Caribbean"
"USA",2.59008795669824,2009,308023.4545,"Europe and North America"
"UZB",2.54154262516915,2009,27939.3285,"Central and Southern Asia"
"VEN",2.81792286874154,2009,28438.298,"Latin America and the Caribbean"
"VNM",2.02165087956698,2009,86460.0175,"South-Eastern Asia"
"YEM",2.86274289580514,2009,25927.7235,"Northern Africa and Western Asia"
"ZAF",3.21248308525034,2009,51728.516,"Sub-Saharan Africa"
"ZMB",2.17388362652233,2009,13490.3895,"Sub-Saharan Africa"
"ZWE",2.92867658998647,2009,13142.7895,"Sub-Saharan Africa"
"AFG",3.23992963464141,2010,28284.0885,"Central and Southern Asia"
"AGO",2.34153585926928,2010,23294.825,"Sub-Saharan Africa"
"ALB",2.21715155615697,2010,2928.7215,"Europe and North America"
"ARE",1.94130581867388,2010,6938.363,"Northern Africa and Western Asia"
"ARG",2.44008795669824,2010,41288.6935,"Latin America and the Caribbean"
"ARM",2.37625169147497,2010,2931.078,"Northern Africa and Western Asia"
"AUS",1.52719891745602,2010,22141.5805,"Oceania"
"AUT",1.5036197564276,2010,8365.09150000001,"Europe and North America"
"AZE",2.1892652232747,2010,9146.8505,"Northern Africa and Western Asia"
"BDI",2.68752638700947,2010,9376.44450000001,"Sub-Saharan Africa"
"BEL",1.64435047361299,2010,10936.6255,"Europe and North America"
"BEN",2.27926251691475,2010,9797.484,"Sub-Saharan Africa"
"BFA",2.02449255751015,2010,16176.498,"Sub-Saharan Africa"
"BGD",2.42330852503383,2010,152201.9815,"Central and Southern Asia"
"BGR",1.98853179972936,2010,7437.5985,"Europe and North America"
"BHR",2.19472259810555,2010,1213.244,"Northern Africa and Western Asia"
"BIH",1.93366035182679,2010,3811.4715,"Europe and North America"
"BLR",2.65392422192152,2010,9490.7515,"Europe and North America"
"BOL",2.317050067659,2010,10182.345,"Latin America and the Caribbean"
"BRA",2.69582814614344,2010,193701.9295,"Latin America and the Caribbean"
"BTN",2.03616373477673,2010,701.632,"Central and Southern Asia"
"BWA",2.3872801082544,2010,2033.1105,"Sub-Saharan Africa"
"CAF",2.92613125845738,2010,4492.9955,"Sub-Saharan Africa"
"CAN",1.42391745602165,2010,34196.8985,"Europe and North America"
"CHE",1.40970906630582,2010,7825.7535,"Europe and North America"
"CHL",1.9979702300406,2010,17181.464,"Latin America and the Caribbean"
"CHN",2.46089851150203,2010,1351561.514,"Eastern Asia"
"CIV",2.48389715832206,2010,22488.0645,"Sub-Saharan Africa"
"CMR",2.56035182679296,2010,19668.066,"Sub-Saharan Africa"
"COD",3.36631393775372,2010,68563.0375,"Sub-Saharan Africa"
"COG",2.63910690121786,2010,4462.29,"Sub-Saharan Africa"
"COL",3.13458322056834,2010,44777.319,"Latin America and the Caribbean"
"CRI",2.09093369418133,2010,4555.962,"Latin America and the Caribbean"
"CUB",2.49052774018945,2010,11297.409,"Latin America and the Caribbean"
"CYP",1.67418809201624,2010,1127.8165,"Northern Africa and Western Asia"
"CZE",1.62077131258457,2010,10464.0355,"Europe and North America"
"DEU",1.62046684709066,2010,80830.924,"Europe and North America"
"DJI",2.24931258457375,2010,930.2515,"Sub-Saharan Africa"
"DNK",1.29451962110961,2010,5547.8625,"Europe and North America"
"DOM",2.82855209742896,2010,9820.175,"Latin America and the Caribbean"
"DZA",2.49899458728011,2010,36188.2355,"Northern Africa and Western Asia"
"ECU",2.56446820027064,2010,15076.695,"Latin America and the Caribbean"
"EGY",2.20297699594046,2010,89196.0725,"Northern Africa and Western Asia"
"ERI",3.05683355886333,2010,2945.1865,"Sub-Saharan Africa"
"ESP",1.94702300405954,2010,46840.4715,"Europe and North America"
"EST",1.92587956698241,2010,1331.4485,"Europe and North America"
